105,Dubnium,Db,262,7,5,artificial,Transactinide,,,,,39,,,,,[Rn] 7s2 5f14 6d3,2
106,Seaborgium,Sg,266,7,6,artificial,Transactinide,,,,,35,,,,,[Rn] 7s2 5f14 6d4,2
107,Bohrium,Bh,264,7,7,artificial,Transactinide,,,,,37,,,,,[Rn] 7s2 5f14 6d5,2
108,Hassium,Hs,267,7,8,artificial,Transactinide,,,,,41,,,,,[Rn] 7s2 5f14 6d6,2
109,Meitnerium,Mt,268,7,9,artificial,Transactinide,,,,,35,,,,,[Rn] 7s2 5f14 6d7,-1
110,Darmstadtium ,Ds ,271,7,10,artificial,Transactinide,,,,,,,,,,[Rn] 7s1 5f14 6d9,-1
111,Roentgenium ,Rg ,272,7,11,artificial,Transactinide,,,,,,,,,,[Rn] 7s1 5f14 6d10,-1
112,Copernicium ,Cn ,285,7,12,artificial,Transactinide,,,,,,,,,,[Rn] 7s2 5f14 6d10,-1
113,Ununtrium ,Uut ,284,7,13,artificial,,,,,,,,,,,[Rn] 7s2 5f14 6d10 7p1,-1
114,Ununquadium ,Uuq ,289,7,14,artificial,Transactinide,,,,,,,,,,[Rn] 7s2 5f14 6d10 7p2,-1
115,Ununpentium ,Uup ,288,7,15,artificial,,,,,,,,,,,[Rn] 7s2 5f14 6d10 7p3,-1
116,Ununhexium ,Uuh ,292,7,16,artificial,Transactinide,,,,,,,,,,[Rn] 7s2 5f14 6d10 7p4,-1
117,Ununseptium ,Uus ,295,7,17,artificial,,,,,,,,,,,[Rn] 7s2 5f14 6d10 7p5,-1
118,Ununoctium ,Uuo ,294,7,18,artificial,Noble Gas,,,,,,,,,,[Rn] 7s2 5f14 6d10 7p6,-1
